id,id_mal,title,year,season,episodes,average_score,mean_score,popularity,favourites,genres,source,studio
142599,50583,Butareba -The Story of a Man Turned into a Pig-,2023,FALL,12,57,57,17586,215,Comedy|Fantasy,LIGHT_NOVEL,project No.9
142666,50586,Migi&Dali,2023,FALL,13,75,75,33311,928,Drama|Mystery|Slice of Life,MANGA,GEEKTOYS
142849,50606,Ayakashi Triangle,2023,WINTER,12,61,61,31972,441,Action|Comedy|Ecchi|Romance|Supernatural,MANGA,CONNECT
142853,50608,Tokyo Revengers Season 2,2023,WINTER,13,75,75,137116,2513,Action|Drama|Romance|Supernatural,MANGA,LIDENFILMS
142877,50613,Rurouni Kenshin (2023),2023,SUMMER,24,74,74,58652,1233,Action|Drama|Romance,MANGA,LIDENFILMS
142914,50287,The Vampire Dies in No Time Season 2,2023,WINTER,12,73,74,11936,202,Comedy|Supernatural,MANGA,MADHOUSE
143064,50652,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,2023,WINTER,12,70,71,36513,678,Comedy|Fantasy|Romance,LIGHT_NOVEL,Tezuka Productions
143085,50664,The Faraway Paladin: The Lord of Rust Mountains,2023,FALL,12,73,73,46537,686,Action|Adventure|Fantasy|Mystery|Psychological,LIGHT_NOVEL,OLM
143327,50695,MF GHOST,2023,FALL,12,74,74,33078,821,Sports,MANGA,Felix Film
143338,50739,The Angel Next Door Spoils Me Rotten,2023,WINTER,12,78,78,157738,6776,Romance|Slice of Life,LIGHT_NOVEL,project No.9
143653,50796,Insomniacs After School,2023,SPRING,13,80,80,103882,3062,Romance|Slice of Life,MANGA,LIDENFILMS
144092,50854,Handyman Saitou in Another World,2023,WINTER,12,72,72,71506,1583,Adventure|Comedy|Fantasy|Slice of Life,MANGA,C2C
